microbiome_score,metadata_score,voice_score,hrv_score,gut_brain_vulnerability_score
0.009837354,0.778603,0.9991486,0.011402644,0.06247531136028684
0.032260355,0.8187627,0.99942195,0.019155929,0.07032224478076375
0.9789292,0.45219374,0.99935657,0.0142598925,0.8608475960447598
0.98195964,0.8524949,0.9994708,0.011402644,0.8815087756623082
0.9615803,0.3035135,0.99922395,0.009322538,0.8421646025344734
0.019378796,0.7418583,0.99799025,0.0142598925,0.06432698485396475
0.013839301,0.15710081,0.97056645,0.010837029,0.04984671628121569
0.02724441,0.440899,0.9764678,0.16936609,0.06122763099080884
0.011899128,0.6106471,0.99941254,0.011013846,0.05895559870111188
0.012294902,0.45834124,0.99953794,0.011664719,0.055564043140220995
0.95426893,0.61858594,0.9994905,0.20446981,0.859919073189192
0.98545825,0.7007352,0.99953794,0.008181488,0.87635169454498
0.9627019,0.18303575,0.8789508,0.02994662,0.8401671556162715
0.06098698,0.7745905,0.99706656,0.0142598925,0.07851716794061708
0.0153067205,0.44603625,0.96381575,0.0142598925,0.056501135813685
0.96725947,0.59337294,0.9892096,0.99379104,0.8845045150422205
0.92791647,0.36603543,0.99797887,0.99379104,0.8516345295518958
0.9914902,0.85170513,0.99849033,0.9811032,0.9053232773003523
0.98523384,0.57077515,0.99952483,0.99379104,0.8919191673716917
0.0662486,0.41009012,0.9995925,0.9758287,0.08396938258799583
0.9795179,0.81455123,0.99955016,0.99379104,0.8990549017224925
0.04059316,0.44948137,0.9996278,0.9928717,0.07636197290882102
0.96942455,0.76718056,0.9995976,0.9928717,0.8926171061879475
0.024838684,0.30873072,0.9996301,0.93712157,0.06657789731805917
0.983414,0.7494241,0.9992124,0.99379104,0.8982453173825571
0.028996691,0.21027343,0.9994917,0.9051928,0.06482104832634755
0.98749036,0.89668494,0.998166,0.99379104,0.905549371945112
0.9880725,0.49626473,0.9986914,0.6474405,0.8828110879282723
0.124124855,0.5064556,0.9829427,0.9928717,0.11280425387502317
0.9816852,0.20294203,0.9892525,0.96341825,0.8735359352478389
0.98917246,0.31316155,0.01019935,0.9032588,0.9019701355517119
0.96695864,0.34691674,0.004986037,0.9928717,0.8953667854475141
0.024929246,0.91403526,0.0040889145,0.99379104,0.10431331681560975
0.025643026,0.5209161,0.0053188335,0.9928717,0.08991793908289485
