feature,importance
MDVP:Fo,0.019943727857174538
MDVP:Fhi,0.0433568232539802
MDVP:Flo,0.07027413124032654
MDVP:Jitter,0.023156481620293386
MDVP:Jitter.1,0.020999163961802847
MDVP:RAP,0.015176298557214076
MDVP:PPQ,0.027527163636724347
Jitter:DDP,0.02811759987390337
MDVP:Shimmer,0.026825831677349223
MDVP:Shimmer.1,0.09361148057483223
Shimmer:APQ3,0.05131143335037698
Shimmer:APQ5,0.020769713743233435
MDVP:APQ,0.04896591130294311
Shimmer:DDA,0.0927198910500356
NHR,0.013553726826595558
HNR,0.041308255634964264
RPDE,0.07407961291911538
DFA,0.07167297017477958
spread1,0.03979399571228239
spread2,0.07889805525121005
D2,0.029610659513349662
PPE,0.06832707226751318
